,Puede Manejar
Profesor 1,0
Profesor 2,0
Profesor 3,1
Profesor 4,1
Profesor 5,1
Profesor 6,0
Profesor 7,1
Profesor 8,0
Profesor 9,0
Profesor 10,1
Profesor 11,0
Profesor 12,0
Profesor 13,1
Profesor 14,1
Profesor 15,0
Profesor 16,1
Profesor 17,1
Profesor 18,1
Profesor 19,0
Profesor 20,0
Profesor 21,0
Profesor 22,0
Profesor 23,0
Profesor 24,0
Profesor 25,0
Profesor 26,0
Profesor 27,1
Profesor 28,0
Profesor 29,1
Profesor 30,1
Profesor 31,1
Profesor 32,1
Profesor 33,0
Profesor 34,1
Profesor 35,0
Profesor 36,0
Profesor 37,0
Profesor 38,0
Profesor 39,1
Profesor 40,0
Profesor 41,0
Profesor 42,1
Profesor 43,0
Profesor 44,0
Profesor 45,1
Profesor 46,0
Profesor 47,0
Profesor 48,1
Profesor 49,0
Profesor 50,1
Profesor 51,1
Profesor 52,0
Profesor 53,0
Profesor 54,1
Profesor 55,0
Profesor 56,1
Profesor 57,0
Profesor 58,1
Profesor 59,1
Profesor 60,0
Profesor 61,1
Profesor 62,1
Profesor 63,1
Profesor 64,0
Profesor 65,1
Profesor 66,0
Profesor 67,1
Profesor 68,1
Profesor 69,1
Profesor 70,1
Profesor 71,0
Profesor 72,0
Profesor 73,1
Profesor 74,0
Profesor 75,0
Profesor 76,0
Profesor 77,1
Profesor 78,0
Profesor 79,0
Profesor 80,1
Profesor 81,1
Profesor 82,0
Profesor 83,0
Profesor 84,0
Profesor 85,1
Profesor 86,1
Profesor 87,0
Profesor 88,1
Profesor 89,1
Profesor 90,0
Profesor 91,1
Profesor 92,1
Profesor 93,1
Profesor 94,0
Profesor 95,1
Profesor 96,0
Profesor 97,1
Profesor 98,0
Profesor 99,1
Profesor 100,1
Profesor 101,1
Profesor 102,1
Profesor 103,0
Profesor 104,1
Profesor 105,1
Profesor 106,0
Profesor 107,1
Profesor 108,0
Profesor 109,1
Profesor 110,0
Profesor 111,1
Profesor 112,0
Profesor 113,0
Profesor 114,0
Profesor 115,0
Profesor 116,1
